,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
223,CHODL-AS1,328.785037675473,3.04448781353922,0.7766508427939541,3.9200212576694797,8.85411583504366e-05,0.0198747231384746
479,TMEM263,310.480189521596,3.0498955773934195,0.8625192057940949,3.53603207546605,0.000406185372474048,0.0425487639861825
431,PDP2,1456.3415775902802,3.05641236367517,0.8543564269300219,3.5774441056852995,0.000346970382999185,0.0402910342438384
458,LINC00317,328.804100509551,3.0592910110071005,0.860468208609432,3.5553794787504103,0.000377433931502775,0.0413205545180948
445,MRPL50P4,331.007873162099,3.0645442070043396,0.8605754511654119,3.56104069998076,0.000369387814524752,0.0411039585977106
282,HOXC-AS1,885.026616430993,3.06627820425269,0.8049123616213458,3.8094559736618296,0.0001392729028535,0.0246857109482294
534,AIRN,694.389060965025,3.06722495238478,0.882781396352972,3.4745011223122595,0.0005118042228694639,0.0482006222404477
541,PHOX2B,347.593788891559,3.06897813361705,0.8849049761049751,3.46814428270656,0.000524065832529834,0.0486753892992302
438,TMEM159,249.71194220130798,3.08304095611558,0.863594132998066,3.5700114652382497,0.00035696560373213703,0.0409693611475117
285,GRPEL1,310.173228686987,3.0896363888370697,0.8115938569101829,3.80687503057208,0.00014073381397797,0.0247420870651269
434,CHSY3,313.727236437458,3.0901777020751,0.8645741362160408,3.57421945976756,0.00035127421468278197,0.040603261582678005
401,VN1R93P,500.402318840277,3.0951838559133398,0.8575079185234951,3.60951052352123,0.00030677532895409,0.0383705729232353
360,ZNF440,385.39419298694196,3.09669166840488,0.841026317169893,3.68203896261587,0.00023137603834267202,0.0322266442767532
266,NECAP1,345.224911633126,3.1029525164897205,0.808709908052191,3.83691665650951,0.00012458873078482,0.0234831105620025
440,YWHAQP6,232.476047562222,3.1042684065549904,0.8705576584087679,3.5658389499772696,0.00036269406139656204,0.0411039585977106
530,UBE2DNL,414.25063085021895,3.11144464917432,0.8950999175497221,3.4760863990376603,0.000508788345748091,0.0481777529426738
355,TOMM22P6,355.83459963973297,3.11160770848071,0.8439420554200999,3.6869921204860403,0.00022692038047108,0.0319601782926229
245,PGBD1,382.637929772502,3.1130896251431297,0.8034206768708021,3.87479400862338,0.000106714931568025,0.0218119246917556
367,DEFB4A,395.88448482171304,3.1142547088803196,0.8495989407803659,3.66555860582858,0.000246799282988864,0.0337209639890301
385,MIR1322,340.336893521001,3.11717332582063,0.856481520214432,3.6395103131241,0.00027315699808819904,0.0355818834737635
213,KRTAP10-9,829.018505732949,3.11883499275743,0.791177572465808,3.94201643385463,8.079943882830691e-05,0.0189882585224492
101,TMEM79,360.02449455957003,3.12485598506548,0.7294929180387801,4.28360016635468,1.83893252894387e-05,0.00906503593017909
390,ST3GAL1,486.132896110728,3.12888826917639,0.8631925764376941,3.62478588739605,0.000289200948929052,0.037190058601283
425,ABCB1,462.659285557435,3.1316266746413897,0.8739400124503299,3.58334282677025,0.00033922491469611004,0.0398594895377384
423,CYP2C9,422.122728455288,3.1334459419387,0.873552749377006,3.58701400021165,0.000334486371223166,0.0396658236591321
502,ACER1,635.4645208628469,3.13777028942231,0.893665645507119,3.51112332134212,0.000446217344243987,0.0446216178481318
419,CLUHP4,269.14777385710096,3.14179856690099,0.874838489229808,3.59128982729941,0.000329045469515223,0.0392055337741586
428,XRCC5,426.022945623476,3.14447556936365,0.8779213471492959,3.5817281121755404,0.00034132892088532997,0.0400054999324832
226,SNORA71B,690.9227068208611,3.1469911219431,0.805277574449513,3.9079582268193502,9.30793942483552e-05,0.0206172908467029
492,GET4,806.9280060368719,3.14708972429673,0.894165998682116,3.5195810721221,0.000432228914825024,0.0439937288791843
404,TPT1P14,470.13877531606795,3.1491021676881403,0.8731224870687041,3.6067129347000098,0.000310100398638634,0.0384043304038156
351,XAGE3,557.727185930913,3.15298606921826,0.85392212767133,3.6923578474497996,0.000222184535407629,0.0317376722296335
368,SLC8A1,653.513080356346,3.15340269158041,0.860460602870341,3.6647845131563597,0.000247546917737302,0.0337314541212718
379,LRRC59,758.276920260939,3.15610918624022,0.865100356459178,3.6482578728299804,0.000264024564560811,0.0347524061012621
311,IQCF5-AS1,521.1534645773249,3.15679356399774,0.840599385263087,3.75540789029931,0.00017305940018563898,0.0278897426305581
453,PABPC1P10,380.373948119863,3.1576078887201295,0.88836660492788,3.5543973301162897,0.00037884639591181,0.0413205545180948
547,ATG9B,346.284477708547,3.1589575503102005,0.913450016614253,3.4582708334923797,0.000543654565310114,0.0498822905079523
145,RPL21P34,584.976598967867,3.1623028224758194,0.768729924418578,4.11367207393103,3.89414519393134e-05,0.0130781426791254
363,NHEG1,880.261376390256,3.1626539644666702,0.860858953828744,3.67383524374173,0.000238936830444943,0.0329611263488896
403,TNS2,896.149471836111,3.16552866023894,0.8773620464727799,3.6080072906791196,0.000308557821427123,0.0384043304038156
433,C19orf43,231.386470222337,3.16666732862675,0.885815928988159,3.57485931896025,0.000350416264234773,0.0405974197741674
217,MIR520G,198.74834468810002,3.16748568312117,0.8046389580828249,3.9365303547670494,8.26681677961129e-05,0.019099750724382
503,REXO1L8P,209.23780858071999,3.1732360746450095,0.90419125123564,3.5094744284558903,0.00044899323086179806,0.0447048905533772
515,ISCA1P3,518.100827262406,3.1735454537084102,0.9078096635018209,3.4958269131732402,0.00047259514906424903,0.0460514664536812
292,PLXNB2,366.433097742893,3.1752531832360096,0.8374292145300509,3.7916675560667,0.000149639137517176,0.0256814746729908
328,XRN2,412.251779709769,3.1803709806948,0.8541769971985291,3.72331611729836,0.000196623080504648,0.0300498635588273
377,ITGB8,418.124176515065,3.18153660936759,0.8719695948027291,3.64867838091002,0.000263592848599423,0.0347524061012621
496,MIR3609,363.707745306699,3.18308608827874,0.905648917742261,3.51470202847922,0.000440247661122467,0.0445394218287702
442,ADGRB3,473.429700006175,3.18873795169843,0.8946482901743059,3.5642363448514103,0.00036491704214439103,0.0411039585977106
189,RNASE7,427.363185315404,3.19472696385472,0.797234527196583,4.00726116954411,6.14269257444711e-05,0.0162558276492513
402,PLGLB1,352.814934582196,3.19879789695941,0.886637738478096,3.60778450785335,0.000308822814838421,0.0384043304038156
307,CCNG1P1,554.818924888385,3.1992366876351697,0.84853917188877,3.77028756434893,0.000163059551804999,0.0266194718321661
273,KLF3-AS1,433.436695881968,3.2006928902180802,0.837162083753554,3.8232654731175093,0.000131695853605912,0.0241671504202877
335,TRIM56,295.187754491074,3.20080287366303,0.8626387230929549,3.71047900816078,0.00020686745064369698,0.0309568520411183
376,BPESC1,351.182879996965,3.20100971080224,0.8773725614504642,3.64840416881782,0.000263874294181225,0.0347524061012621
436,RPS26P4,446.596763892929,3.2028887242932202,0.896571637400682,3.57237346206819,0.00035376043021644504,0.0407034970062084
